artistName,tag1,tag2,tag3
The Strokes,indie rock,indie,rock
DrefQuila,latin,chile,trap
Pepe Lavat,
Nicki Nicole,pop,argentina,rnb
Nova Bossa Ltd.,Bossa Nova,lounge
Chukky,spanish rap
Bakermat,House,deep house,dutch
Lou Bega,pop,mambo,latin
Moisés Nieto,piano,Soundtrack,new age
Metric,indie,indie rock,female vocalists
Jimmy Vivot,
clubtampico,
Movie Sounds Unlimited,Soundtrack,cover,cover song
Titan Pulse,
Natural Sound Makers,Nature,rain,sounds of nature
Marvin Hamlisch,Soundtrack,composer,Broadway
Botonet,
Facundo Majdalani,
El Retutu,latin,argentina,cumbia
Asana Ventus,
The OneUps,jazz,video game music,Fusion
Lilly Goodman,lilly goodman,Musica Cristiana,christian pop
Pablo Cepeda,swedish,pop,Eurovision
ortoPilot,acoustic,youtube,british pop
Christopher Jackson,Broadway,USA,All
David Guetta,House,dance,electronic
Colin Firth,Mamma mia,musical,british
James Brown,funk,soul,rhythm and blues
Juan Carlos Baglietto,argentina,rock,Rock Argentino
Lynyrd Skynyrd,Southern Rock,classic rock,rock
JUICEB☮X,Lo-Fi,Hip-Hop,rnb
Rockwell,Drum and bass,pop,80s
Vance Joy,folk,indie,australian
Dave Moisan,dance,pop,dave
Cigarettes After Sex,dream pop,shoegaze,slowcore
Don Omar,Reggaeton,latin,Hip-Hop
Charlie Hodson-Prior,Charlie Hodson-Prior
Tahta Menezes,Bossa Nova,jazz,female vocalists
Sumo,post-punk,Rock Argentino,argentina
Josema Yuste,Disney
Sleepness Orchestra,
Slaptop,electronic,mash-up,mashup
Pablo Martinez,pop,catholic,sexy
Shark Family Band,
Julie Walters,pop,Soundtrack,british
El Cruce,blues,blues chileno,rock
Massive Attack,trip-hop,electronic,chillout
Paul Simon,singer-songwriter,folk,classic rock
Norma Herrera,mexico,latin,ranchera
Damien Jurado,folk,singer-songwriter,indie
Alicia Keys,soul,rnb,female vocalists
GAYLE,pop,USA,female vocalists
Kapanga,ska,Rock Argentino,rock
Aitch,rap,Hip-Hop,indie pop
Alto,hard rock,arranger,touhou
Gliese,electro,deep house,experimental
Hi Freq Samples,relax,ambient,rain
Facundo Gambandé,
MC Bruninho,brazil,brasil,Brega
Steve Jablonsky,Soundtrack,instrumental,composer
fun.,indie pop,indie,alternative
Noise Library,
Chuck Berry,Rock and Roll,classic rock,blues
C. J. Johnson,cover,american,oldies
Hardwell,House,Progressive House,electro house
Poncho,argentina,electronic,techno
Hugo Liscano,venezuela
The La Planta,uruguay,latin,latino
Jona Mix,
Ruben Rada,candombe,uruguay,rada
Duke Dumont,House,electronic,electro
Norah Jones,jazz,female vocalists,blues
Homer El Mero Mero,MDB,hip hop,argentina
Pleasure,funk,jazz,Disco
Matt Johnson,post-punk,alternative,funk
Martin Garrix,House,electronic,dance
Ray LaMontagne,folk,singer-songwriter,acoustic
Royel Otis,indie pop,indie rock,Lo-Fi
Bread,soft rock,70s,classic rock
Grupo 5,cumbia,latin,chill906
Danna Paola,pop,latin,mexican
Switchfoot,alternative rock,rock,alternative
Jósean Log,indie,pop,indie folk
Big Mountain,reggae,pop,90s
Justin Timberlake,pop,rnb,dance
Angelica Vale,female vocalists,pop,indie
Maná,rock,latin,Latin Rock
Coro San Tarsicio,
Migos,Hip-Hop,trap,rap
FMK,trap,Reggaeton,caca
Shelly Sony,cover,Norway,hispanophone
Discotron,nu disco,House,british
Henry Jackman,Soundtrack,instrumental,composer
Chronixx,reggae,roots reggae,Rasta
Os Paralamas Do Sucesso,rock,brazilian rock,brazilian
Odisseo,indie rock,All,mexico
Voy en Voz,
Violet Skies,female vocalists,pop,indie
Bauti Mascia,
Jorge Veliz,
Los Yapasitos,
Las Ketchup,spanish,pop,latin
The Reytons,indie rock,indie,british
Bahiano,reggae,argentina,rock en español
Los Amores Recientes,
Los Claxons,funk,pop,Pop-Rock
Zangel,
Paco Nula,Flamenco,guitar,latin jazz
Laza Bossa,
Gary Clark Jr.,blues rock,blues,soul
NF,Hip-Hop,rap,christian
La Vaca Lola La Vaca Lola,
Wheatus,alternative rock,rock,alternative
Hesham Abdul Wahab,Indian,india
Josh Gad,Soundtrack,musical,american
CeeLo Green,soul,funk,Hip-Hop
Guitarreros,
JENCARLOS,latin pop,latin,male vocalist
iZaak,reggae,80s,puerto rico
Boza,House,Panama,dance
Beluga's Trio,reggae,chillout,jamaica
Acid Ghost,dream pop,shoegaze,indie
Vanessa-Mae,instrumental,Classical,violin
Kid Quill,rap,pop,american
Peyton,lounge,House,Hed Kandi
Christophe Beck,Soundtrack,instrumental,score
Frankie Valli,60s,classic rock,oldies
De La Rivera,dance,Disco,argentinian
Suriel Hess,indie pop,pop,USA
Miriam-Teak Lee,musical,Musical theatre,Miriam-Teak Lee
Laidback Luke,House,electronic,electro
Møme,electronic,chillwave,french
No Spirit,Lo-Fi,instrumental,electronic
Espacious,
Noisettes,indie,indie rock,female vocalists
Edu Schmidt,argentina,All
Fedez,italian,pop rap,hip house
Heitor Pereira,Soundtrack,composer,brazilian
Kidloom,
Bonno Neo,
Lea Gatti,
Bill Murray,comedy,Soundtrack,spoken word
Les Enfantastiques,children,2 s34rch,thisissomething
Radiohead,rock,alternative,alternative rock
Jax,pop,hard rock,American Idol
Rita May,Unites States,United States
Rock Bones,pop,rock,Disney
The Vigil Project,
TX Phoenix,
Barney Artist,rap,soul,Hip-Hop
Young Cister,latin,hip hop,trap
Kaspar Mann,
DJ Sleepwell,
Rebelution,reggae,dub,california reggae
Nick Cave & The Bad Seeds,post-punk,rock,alternative
Khalil Ramos,
Caetano Veloso,mpb,Bossa Nova,tropicalia
Mariah Angeliq,pop,latin,female vocalist
Yusuf / Cat Stevens,
Daniel Caesar,rnb,soul,Neo-Soul
Alle Farben,electronic,minimal,minimal techno
Rafaga,
Philip Grass,instrumental hip-hop,electronic,bass music
Kim Carnes,pop,80s,female vocalists
Leah Greenhaus,musical,american,Broadway
Habstrakt,bass house,dubstep,bassline garage
María León,latin,pop,spanish
Pulp,britpop,indie,british
Shakuhachi Sakano,instrumental,new age,instrumentla
Agapornis,argentina,cumbia,the most frostbitten and grim music from the very very very very very very inverted mountains of Kxziiiimfghhhblaghl
Papanegro,funk,chile,acid jazz
Moby,electronic,ambient,chillout
Heavysaurios,heavy metal,Power metal,metal
Killer Queen,Killer Queen
Majo Chicar,
Louis Armstrong,jazz,blues,swing
Daddy Yankee,Reggaeton,latin,Hip-Hop
Andrew Belle,singer-songwriter,indie,acoustic
Styx,classic rock,Progressive rock,rock
Breakup Shoes,indie pop,indie rock,australia
Noah And The Whale,folk,indie,indie folk
Noelia La Gata,
Coro Hno Javier,
Kodigo,argentinian,argentina
Porsche Love,
ROSE BEAT,
T.I.,Hip-Hop,rap,Dirty South
Foggy Light Wave,
Jacob Banks,soul,british,indie
Ganja,reggae,reggea,latin
Bluey,cartoon,australian,pop
Adele,soul,female vocalists,british
Ponte Perro,argentina
BoyWithUke,indie pop,pop,Lo-Fi
B.o.B,Hip-Hop,rap,hip hop
Dawn Penn,reggae,dancehall,rocksteady
Blythe Davidson,
Kent Dustin,
Iration,reggae,dub,hardcore
Inscription,hardcore,metal,Progressive metal
Philippe Chany,french,jazz,synthpop
LiL CaKe,lesbian-looking ass,argentina
Tharyk,
Randy Newman,singer-songwriter,piano,Soundtrack
GTFOH,
DMA'S,indie rock,shoegaze,britpop
Klaus Badelt,Soundtrack,instrumental,Classical
DJ Khaled,Hip-Hop,rap,hip hop
C. Tangana,rap,Hip-Hop,rnb
Clinton Fearon,reggae,roots reggae,roots
Beverly,shoegaze,indie pop,indie
W Sound,Colombia,colombian,Urbano Latino
Braulio Sauce,
Dropkick Murphys,punk,punk rock,folk punk
Los Tigres Del Norte,norteño,corridos,mexico
Vincent,pop,swedish,hard rock
Voces Al Cielo,
Zero Oto,
Heroicos sobrevivientes,classic rock,Rock and Roll,noise rock
NONONO,indie pop,electronic,swedish
Conep,puerto rico
Macklemore,Hip-Hop,rap,underground rap
Willy William,jamaican,pop,dance
Dr. Dreammaker,
Kojey Radical,rap,london,hip hop
Jackie Hoffman,musical,american,Broadway
Rock Mafia,pop,rock,indie
Irene Cara,pop,80s,female vocalists
Blue Swede,classic rock,rock,swedish
Sie7e,latin,reggae,pop
Bandana,female vocalists,pop,argentina
Bruno Mars,pop,rnb,male vocalists
Aerosmith,hard rock,classic rock,rock
Dj Nahu Castro,
Flowklorikos,Hip-Hop,rap,zaragoza
KEI NATURE,nature sound,ambient,relax
