endTime,artistName,trackName,msPlayed
2025-03-26 18:22,The Kooks,She Moves In Her Own Way,169306
2025-03-26 18:25,The Kooks,Pamela,184699
2025-03-26 18:29,The Kooks,Sway,216880
2025-03-26 18:31,The Kooks,Jeanie,161632
2025-03-26 18:35,The Kooks,Connection,225733
2025-03-26 18:38,The Kooks,See Me Now,181026
2025-03-26 18:41,The Kooks,Always Where I Need To Be,161720
2025-03-26 18:44,The Kooks,Never Know,175120
2025-03-26 18:46,The Kooks,Sofa Song,133253
2025-03-26 18:49,The Kooks,Beautiful World,183586
2025-03-26 18:52,The Kooks,Junk Of The Heart (Happy),187253
2025-03-26 18:56,The Kooks,Cold Heart - Single Edit,210893
2025-03-26 18:59,The Kooks,Mr. Maker,180880
2025-03-26 19:01,The Kooks,Oasis,113426
2025-03-26 19:03,The Kooks,Jesse James,173973
2025-03-26 19:07,The Kooks,Naive,188424
2025-03-26 19:09,The Kooks,Jackie Big Tits,152586
2025-03-26 19:11,The Kooks,Inaudible Melodies - Acoustic Version,80573
2025-03-26 19:13,The Kooks,Constantine's Love - Studio Demo,158880
2025-03-26 19:17,The Kooks,Westside,210193
2025-03-26 19:20,The Kooks,Killing Me,205026
2025-03-26 19:24,The Kooks,All the Time,246736
2025-03-26 19:29,The Kooks,Sweet Emotion,308569
2025-03-26 19:33,The Kooks,Bad Habit,221413
2025-03-26 19:34,The Kooks,Killing Me,1981
2025-03-26 19:34,The Kooks,Bad Habit,1281
2025-03-26 19:34,The Kooks,Bad Habit,2141
2025-03-26 19:34,The Kooks,Bad Habit,0
2025-03-26 19:34,The Kooks,Sweet Emotion,311
2025-03-26 19:34,The Kooks,Sweet Emotion,1161
2025-03-26 19:34,The Kooks,All the Time,1361
2025-03-26 19:34,The Kooks,All the Time,0
2025-03-26 19:34,The Kooks,Pumped Up Kicks - BBC Live Version,918
2025-03-26 19:34,The Kooks,Pumped Up Kicks - BBC Live Version,48052
2025-03-26 19:43,The Kooks,Sweet Emotion,308569
2025-03-26 20:17,The Kooks,Bad Habit,107552
2025-03-27 00:16,Jason Mraz,I'm Yours,116148
2025-03-27 00:19,Keane,Everybody's Changing,215880
2025-03-27 00:20,Kygo,Stole the Show,32077
2025-03-27 00:20,Keane,Everybody's Changing,1318
2025-03-27 00:24,Kygo,Stole the Show,223186
2025-03-27 00:27,Jack Johnson,Upside Down,209546
2025-03-27 00:31,Bruno Mars,Marry You,230192
2025-03-27 00:34,Vance Joy,Riptide,204280
2025-03-27 00:38,Capital Cities,Safe and Sound,192789
2025-03-27 00:41,Sean Kingston,Beautiful Girls,225373
2025-03-27 00:44,The Lumineers,Flowers In Your Hair,109735
2025-03-27 00:46,The 502s,Just A Little While,162608
2025-03-27 00:51,Maroon 5,She Will Be Loved,257133
2025-03-27 00:54,Bruno Mars,Talking to the Moon,217866
2025-03-27 00:58,The Skinner Brothers,PRAWN SOUP,153050
2025-03-27 01:04,Weezer,Island In The Sun,200306
2025-03-27 01:11,Jason Mraz,Love Someone,257173
2025-03-27 01:11,Bon Iver,"Hey, Ma",9163
2025-03-27 01:11,Ed Sheeran,Perfect,6848
2025-03-27 01:14,Jack Johnson,Banana Pancakes,191906
2025-03-27 01:21,Coldplay,Fix You,3635
2025-03-27 01:21,Israel Kamakawiwo'ole,Somewhere Over The Rainbow/What A Wonderful World,308026
2025-03-27 01:22,Phillip Phillips,"Gone, Gone, Gone",50420
2025-03-27 01:45,Coldplay,Paradise,244691
2025-03-27 06:19,Coldplay,Paradise,523
2025-03-27 17:15,The Kooks,Bad Habit,114115
2025-03-27 17:19,The Kooks,Pumped Up Kicks - BBC Live Version,202283
2025-03-27 17:22,The Kooks,Is It Me,210453
2025-03-27 17:26,The Kooks,25,223893
2025-03-27 17:29,The Kooks,Four Leaf Clover,203081
2025-03-27 18:01,The Kooks,Stole Away - Demo,173355
2025-03-27 18:05,The Kooks,See The Sun,216426
2025-03-27 18:08,The Kooks,No Pressure,216617
2025-03-27 18:11,The Kooks,How'd You Like That,194908
2025-03-27 18:15,The Kooks,Closer,220933
2025-03-27 18:18,The Kooks,Watching The Ships Roll In,201160
2025-03-27 18:23,The Kooks,Around Town,250692
2025-03-27 18:26,The Kooks,Ooh La,208973
2025-03-27 18:30,The Kooks,Chicken Bone,225001
2025-03-27 18:33,The Kooks,Shine On,194240
2025-03-27 18:36,The Kooks,Junk Of The Heart (Happy),187253
2025-03-27 18:39,The Strokes,Someday,183573
2025-03-27 18:43,Catfish and the Bottlemen,Cocoon,236887
2025-03-27 18:47,Sam Fender,Hypersonic Missiles,237986
2025-03-27 18:52,Phoenix,If I Ever Feel Better,266600
2025-03-27 18:56,Foals,My Number,238853
2025-03-27 19:00,The Kooks,Gap,239960
2025-03-27 19:03,The Strokes,Last Nite,193506
2025-03-27 19:07,Catfish and the Bottlemen,Longshot,232960
2025-03-27 19:11,The Fratellis,She's Not Gone Yet but She's Leaving,230200
2025-03-27 19:13,Corella,Let On,147360
2025-03-27 19:17,The Wombats,Moving to New York,210560
2025-03-27 19:19,The Kooks,She Moves In Her Own Way,169306
2025-03-27 19:23,The Strokes,Under Cover of Darkness,235546
2025-03-27 19:26,Catfish and the Bottlemen,Kathleen,160886
2025-03-27 20:38,Tame Impala,Feels Like We Only Go Backwards,29261
2025-03-28 09:13,Coldplay,Paradise,34541
2025-03-28 09:17,Vance Joy,Mess Is Mine,223640
2025-03-28 09:31,Coldplay,Viva La Vida,242373
2025-03-28 09:34,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,189413
2025-03-28 09:38,James Blunt,Stay the Night,216333
2025-03-28 09:41,Niall Horan,Slow Hands,188173
2025-03-28 09:45,Shag Rock,Champagne,205973
2025-03-28 09:48,Sting,Don't Make Me Wait (with Shaggy),215053
2025-03-28 09:52,Red Hot Chili Peppers,Scar Tissue,215906
2025-03-28 09:55,The Lumineers,Boots Of Spanish Leather,167443
2025-03-28 09:58,Gnarls Barkley,Crazy,177933
2025-03-28 10:00,Jack Johnson,I Got You,179346
2025-03-28 10:02,Tom Odell,Another Love,2455
2025-03-28 10:02,Bill Withers,Lovely Day,109411
2025-03-28 10:04,The Kooks,Seaside,99226
2025-03-28 10:08,Lionel Richie,All Night Long (All Night) - Single Version,258666
2025-03-28 10:17,James Blunt,1973,280026
2025-03-28 10:20,Corella,Barcelona Girl,204600
2025-03-28 10:24,Bruno Mars,When I Was Your Man,213826
2025-03-28 10:27,The Lumineers,Sleep On The Floor,211851
2025-03-28 10:31,Lukas Graham,7 Years,237300
2025-03-28 10:34,Corella,Let On,147360
2025-03-28 10:38,The Fray,How to Save a Life,262533
2025-03-28 10:41,X Ambassadors,Renegades,195200
2025-03-28 10:44,Sam Smith,Stay With Me,172723
2025-03-28 10:48,Sting,Shape Of My Heart,279226
2025-03-28 10:54,Coldplay,The Scientist,309600
2025-03-28 11:09,Passenger,Let Her Go,238979
2025-03-29 00:20,Passenger,Let Her Go,14184
2025-03-29 01:18,Koino Yokan,Nada Mas Que Vos,185058
2025-03-29 01:21,El Kuelgue,Carta Para No Llorar,178577
2025-03-29 01:25,Gauchito Club,Encendedor,220001
2025-03-29 01:28,Zenon Pereyra,Entre La Gente,204137
2025-03-29 01:56,Koino Yokan,Me Diste la Espalda,91545
2025-03-29 04:12,The Kooks,Naive,203506
